Title,Release Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,URL,type
Apharan,2018,"['Action & Adventure', ' Crime', ' Mystery & Thriller', ' Drama']",8.2,24min,,India,['Alt Balaji'],https://www.justwatch.com/in/tv-show/apharan,tv_show
Naruto Shippūden,2007,"['Science-Fiction', ' Animation', ' Action & Adventure', ' Fantasy', ' Comedy', ' Drama']",8.7,24min,U,Japan,['Crunchyroll'],https://www.justwatch.com/in/tv-show/naruto-shippuden,tv_show
The Rookie,2018,"['Drama', ' Comedy', ' Crime', ' Action & Adventure']",8.0,42min,,United States,['Crunchyroll'],https://www.justwatch.com/in/tv-show/the-rookie,tv_show
Demon Slayer: Kimetsu no Yaiba,2019,"['Action & Adventure', ' Science-Fiction', ' Fantasy', ' Mystery & Thriller', ' Animation']",8.6,26min,,Japan,['Crunchyroll'],https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba,tv_show
Dark,2017,"['Science-Fiction', ' Mystery & Thriller', ' Crime', ' Drama']",8.7,56min,,Germany,['Netflix'],https://www.justwatch.com/in/tv-show/dark,tv_show
Gandii Baat,2018,"['Drama', ' Crime', ' Mystery & Thriller']",3.4,44min,A,India,['Alt Balaji'],https://www.justwatch.com/in/tv-show/gandii-baat,tv_show
No Gain No Love,2024,"['Comedy', ' Romance', ' Drama']",7.9,1h 8min,,South Korea,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/no-gain-no-love,tv_show
Lost,2004,"['Mystery & Thriller', ' Action & Adventure', ' Drama', ' Fantasy', ' Science-Fiction']",8.3,43min,U,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/lost,tv_show
Sunflower,2021,"['Crime', ' Comedy']",7.4,38min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/sunflower-2021,tv_show
Kaos,2024,"['Drama', ' Fantasy', ' Comedy', ' Science-Fiction']",7.5,50min,A,United Kingdom,['Netflix'],https://www.justwatch.com/in/tv-show/kaos,tv_show
Euphoria,2019,['Drama'],8.3,58min,A,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/euphoria,tv_show
The Bear,2022,"['Drama', ' Comedy']",8.6,34min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/the-bear,tv_show
Money Heist,2017,"['Action & Adventure', ' Crime', ' Drama', ' Mystery & Thriller', ' Made in Europe']",8.2,50min,,Spain,['Netflix'],https://www.justwatch.com/in/tv-show/paperhouse,tv_show
The Family Man,2019,"['Comedy', ' Drama', ' Action & Adventure', ' Mystery & Thriller']",8.7,45min,,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-family-man,tv_show
Tanaav,2022,"['Drama', ' Crime']",,34min,,India,['Sony Liv'],https://www.justwatch.com/in/tv-show/tanaav,tv_show
Terminator Zero,2024,"['Science-Fiction', ' Animation', ' Action & Adventure']",7.0,28min,A,"United States, Japan",['Netflix'],https://www.justwatch.com/in/tv-show/terminator-zero,tv_show
Industry,2020,['Drama'],7.3,57min,,"United States, United Kingdom",['Jio Cinema'],https://www.justwatch.com/in/tv-show/industry,tv_show
Hidden Love,2023,['Drama'],,45min,,China,['Netflix'],https://www.justwatch.com/in/tv-show/hidden-love,tv_show
Person of Interest,2011,"['Action & Adventure', ' Science-Fiction', ' Crime', ' Drama', ' Mystery & Thriller']",8.5,44min,U,United States,['Netflix'],https://www.justwatch.com/in/tv-show/person-of-interest,tv_show
Emily in Paris,2020,"['Comedy', ' Drama', ' Romance']",6.8,31min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/emily-in-paris,tv_show
Asur: Welcome to Your Dark Side,2020,"['Drama', ' Mystery & Thriller', ' Crime']",8.5,47min,,India,['Jio Cinema'],https://www.justwatch.com/in/tv-show/asur,tv_show
Peaky Blinders,2013,"['Drama', ' Crime']",8.8,58min,A,United Kingdom,['Netflix'],https://www.justwatch.com/in/tv-show/peaky-blinders,tv_show
The Flash,2014,"['Science-Fiction', ' Action & Adventure', ' Drama']",7.5,42min,,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-flash,tv_show
Aashram,2020,"['Drama', ' Crime', ' Mystery & Thriller']",6.6,43min,,India,['MX Player'],https://www.justwatch.com/in/tv-show/aashram,tv_show
The Judge from Hell,2024,"['Crime', ' Comedy', ' Drama', ' Science-Fiction', ' Fantasy', ' Horror', ' Romance']",7.7,1h 7min,,South Korea,['Hotstar'],https://www.justwatch.com/in/tv-show/the-judge-from-hell,tv_show
Gyeongseong Creature,2023,"['Science-Fiction', ' Mystery & Thriller', ' Action & Adventure', ' Drama', ' History', ' Horror']",7.3,1h 1min,,South Korea,['Netflix'],https://www.justwatch.com/in/tv-show/gyeongseong-creature,tv_show
DAN DA DAN,2024,"['Animation', ' Action & Adventure', ' Comedy', ' Science-Fiction', ' Romance', ' Mystery & Thriller', ' Fantasy']",8.7,24min,,Japan,['Crunchyroll'],https://www.justwatch.com/in/tv-show/dan-da-dan,tv_show
True Detective,2014,"['Drama', ' Mystery & Thriller', ' Crime']",8.9,1h 1min,U,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/true-detective,tv_show
Jujutsu Kaisen,2020,"['Fantasy', ' Mystery & Thriller', ' Animation', ' Action & Adventure', ' Science-Fiction']",8.6,24min,,"Japan, United States",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/jujutsu-kaisen,tv_show
Modern Family,2009,"['Comedy', ' Drama', ' Romance']",8.5,21min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/modern-family,tv_show
The Frog,2024,"['Crime', ' Drama', ' Mystery & Thriller']",6.8,58min,A,South Korea,['Netflix'],https://www.justwatch.com/in/tv-show/the-frog-2024,tv_show
Yellowstone,2018,"['Drama', ' Western']",8.7,50min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/yellowstone,tv_show
Fallout,2024,"['Science-Fiction', ' War & Military', ' Action & Adventure', ' Drama']",8.4,59min,A,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/fallout,tv_show
Heartstopper,2022,"['Drama', ' Romance']",8.6,33min,,United Kingdom,['Netflix'],https://www.justwatch.com/in/tv-show/heartstopper,tv_show
Hacks,2021,"['Comedy', ' Drama']",8.2,33min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/hacks,tv_show
Scam 1992: The Harshad Mehta Story,2020,"['Crime', ' Drama', ' Mystery & Thriller']",9.2,52min,,India,['Sony Liv'],https://www.justwatch.com/in/tv-show/scam-1992,tv_show
Mr. McMahon,2024,"['Documentary', ' Sport']",7.8,58min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/mr-mcmahon,tv_show
Stranger Things,2016,"['Science-Fiction', ' Action & Adventure', ' Fantasy', ' Horror', ' Mystery & Thriller', ' Drama']",8.7,1h 1min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/stranger-things,tv_show
Tribhuvan Mishra CA Topper,2024,"['Drama', ' Mystery & Thriller', ' Comedy', ' Crime']",7.0,57min,,India,['Netflix'],https://www.justwatch.com/in/tv-show/tribhuvan-mishra-ca-topper,tv_show
3 Body Problem,2024,"['Science-Fiction', ' Mystery & Thriller', ' Drama', ' Fantasy']",7.5,56min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/3-body-problem,tv_show
Gullak,2019,"['Kids & Family', ' Comedy', ' Drama']",9.1,30min,,India,['VI movies and tv'],https://www.justwatch.com/in/tv-show/gullak,tv_show
Murshid,2024,"['Mystery & Thriller', ' Crime']",7.4,34min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/murshid,tv_show
2 Broke Girls,2011,['Comedy'],6.7,21min,,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/2-broke-girls,tv_show
Mouse,2021,"['Mystery & Thriller', ' Science-Fiction', ' Crime', ' Action & Adventure']",8.6,1h 11min,,South Korea,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/mouse,tv_show
You,2018,"['Drama', ' Crime', ' Romance', ' Mystery & Thriller']",7.7,48min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/you,tv_show
The Wire,2002,"['Crime', ' Drama', ' Mystery & Thriller']",9.3,59min,,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-wire,tv_show
Naruto,2002,"['Animation', ' Action & Adventure', ' Science-Fiction', ' Comedy', ' Fantasy']",8.4,23min,,Japan,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/naruto,tv_show
Evil,2019,"['Drama', ' Mystery & Thriller', ' Crime', ' Horror']",7.8,49min,,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/evil,tv_show
She,2020,"['Crime', ' Drama']",6.4,41min,,India,['Netflix'],https://www.justwatch.com/in/tv-show/she,tv_show
Inspector Avinash,2023,"['Action & Adventure', ' Crime', ' Mystery & Thriller']",7.7,41min,,India,['Jio Cinema'],https://www.justwatch.com/in/tv-show/inspector-avinash,tv_show
Sherlock,2010,"['Crime', ' Drama', ' Mystery & Thriller', ' Made in Europe']",9.1,1h 28min,U,United Kingdom,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/sherlock,tv_show
The Last of Us,2023,"['Drama', ' Horror', ' Science-Fiction', ' Mystery & Thriller', ' Action & Adventure']",8.7,58min,A,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-last-of-us,tv_show
Prison Break,2005,"['Action & Adventure', ' Crime', ' Drama', ' Mystery & Thriller', ' Made in Europe']",8.3,50min,U,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/prison-break,tv_show
The Vampire Diaries,2009,"['Drama', ' Science-Fiction', ' Horror', ' Romance', ' Mystery & Thriller', ' Fantasy']",7.7,42min,U,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-vampire-diaries,tv_show
Life Hill Gayi,2024,"['Comedy', ' Romance']",6.5,34min,,India,['Hotstar'],https://www.justwatch.com/in/tv-show/life-hill-gayi,tv_show
Highway Love,2023,"['Romance', ' Comedy']",7.5,33min,,India,['MX Player'],https://www.justwatch.com/in/tv-show/highway-love,tv_show
Jeet Ki Zid,2021,"['Action & Adventure', ' Drama']",8.3,39min,UA,India,['Zee5'],https://www.justwatch.com/in/tv-show/jeet-ki-zid,tv_show
Billions,2016,['Drama'],8.3,57min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/billions,tv_show
English Teacher,2024,['Comedy'],7.1,23min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/english-teacher,tv_show
Vikings,2013,"['Action & Adventure', ' Drama', ' War & Military', ' Romance', ' History', ' Made in Europe']",8.5,45min,A,Canada,['Netflix'],https://www.justwatch.com/in/tv-show/vikings,tv_show
Heeramandi: The Diamond Bazaar,2024,"['Drama', ' History', ' Romance', ' War & Military']",6.4,54min,,India,['Netflix'],https://www.justwatch.com/in/tv-show/heeramandi,tv_show
Dexter,2006,"['Crime', ' Drama', ' Mystery & Thriller']",8.6,53min,A,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/dexter,tv_show
Criminal Minds,2005,"['Crime', ' Drama', ' Mystery & Thriller']",8.1,44min,U,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/criminal-minds,tv_show
Twilight of the Gods,2024,"['Action & Adventure', ' Fantasy', ' Animation', ' Science-Fiction']",7.4,31min,A,"France, United States",['Netflix'],https://www.justwatch.com/in/tv-show/twilight-of-the-gods,tv_show
Spartacus,2010,"['Drama', ' Romance', ' Action & Adventure']",8.5,54min,,United States,['Lionsgate Play'],https://www.justwatch.com/in/tv-show/spartacus,tv_show
Mahabharatham,2013,"['Drama', ' Kids & Family', ' History', ' War & Military']",9.0,23min,U,"United States, India",['Hotstar'],https://www.justwatch.com/in/tv-show/mahabharatham,tv_show
